type,price,pnl,time
open_buy,1.16075,,2025-10-22 06:30:00
close_buy,1.15957,-0.04000000000026205,2025-10-22 12:30:00
open_sell,1.15957,,2025-10-22 12:30:00
close_sell,1.1619,-0.15999999999971593,2025-10-22 19:45:00
open_buy,1.1619,,2025-10-22 19:45:00
close_buy,1.16009,-0.5399999999999849,2025-10-23 04:00:00
open_sell,1.16009,,2025-10-23 04:00:00
close_sell,1.16151,-0.560000000000116,2025-10-23 17:30:00
open_buy,1.16151,,2025-10-23 17:30:00
close_buy,1.16085,-0.08000000000008001,2025-10-24 06:45:00
open_sell,1.16085,,2025-10-24 06:45:00
close_sell,1.16122,-0.019999999999686935,2025-10-24 14:00:00
open_buy,1.16122,,2025-10-24 14:00:00
close_buy,1.16279,0.03999999999981796,2025-10-27 08:15:00
open_sell,1.16279,,2025-10-27 08:15:00
close_sell,1.1641,0.20000000000042206,2025-10-27 12:45:00
open_buy,1.1641,,2025-10-27 12:45:00
close_buy,1.166,0.280000000000058,2025-10-28 12:30:00
open_sell,1.166,,2025-10-28 12:30:00
close_sell,1.16602,0.43999999999977396,2025-10-28 20:00:00
open_buy,1.16602,,2025-10-28 20:00:00
close_buy,1.16502,0.05999999999994898,2025-10-29 01:00:00
open_sell,1.16502,,2025-10-29 01:00:00
close_sell,1.16378,0.91999999999981,2025-10-29 15:30:00
open_buy,1.16378,,2025-10-29 15:30:00
close_buy,1.15897,2.280000000000282,2025-10-29 21:30:00
open_sell,1.15897,,2025-10-29 21:30:00
close_sell,1.16292,0.640000000000196,2025-10-30 06:30:00
open_buy,1.16292,,2025-10-30 06:30:00
close_buy,1.16087,0.5399999999999849,2025-10-30 13:00:00
open_sell,1.16087,,2025-10-30 13:00:00
close_sell,1.1567,1.2199999999999989,2025-10-31 03:45:00
open_buy,1.1567,,2025-10-31 03:45:00
close_buy,1.15611,0.91999999999981,2025-10-31 09:15:00
open_sell,1.15611,,2025-10-31 09:15:00
close_sell,1.15303,0.19999999999997797,2025-11-03 05:15:00
open_buy,1.15303,,2025-11-03 05:15:00
close_buy,1.15138,-0.17999999999984695,2025-11-03 11:45:00
open_sell,1.15138,,2025-11-03 11:45:00
close_sell,1.15226,0.17999999999984695,2025-11-03 20:30:00
open_buy,1.15226,,2025-11-03 20:30:00
close_buy,1.15158,-0.2999999999997449,2025-11-04 01:00:00
open_sell,1.15158,,2025-11-04 01:00:00
close_sell,1.15279,-1.020000000000021,2025-11-04 09:00:00
open_buy,1.15279,,2025-11-04 09:00:00
close_buy,1.14896,0.140000000000029,2025-11-04 14:00:00
open_sell,1.14896,,2025-11-04 14:00:00
close_sell,1.14871,0.280000000000058,2025-11-05 04:30:00
open_buy,1.14871,,2025-11-05 04:30:00
close_buy,1.1482700000000001,-0.09999999999976693,2025-11-05 12:45:00
open_sell,1.1482700000000001,,2025-11-05 12:45:00
close_sell,1.14914,-0.24000000000024005,2025-11-05 23:15:00
open_buy,1.14914,,2025-11-05 23:15:00
close_buy,1.1535199999999999,-0.10000000000021103,2025-11-07 05:15:00
open_sell,1.1535199999999999,,2025-11-07 05:15:00
close_sell,1.15571,-1.3600000000000279,2025-11-07 13:15:00
open_buy,1.15571,,2025-11-07 13:15:00
close_buy,1.15455,-1.500000000000057,2025-11-10 01:00:00
open_sell,1.15455,,2025-11-10 01:00:00
close_sell,1.15601,-0.31999999999987594,2025-11-10 09:15:00
open_buy,1.15601,,2025-11-10 09:15:00
close_buy,1.1544699999999999,-1.3000000000000789,2025-11-10 17:45:00
open_sell,1.1544699999999999,,2025-11-10 17:45:00
close_sell,1.15538,1.3799999999997148,2025-11-11 08:30:00
open_buy,1.15538,,2025-11-11 08:30:00
close_buy,1.15798,0.42000000000008697,2025-11-12 00:30:00
open_sell,1.15798,,2025-11-12 00:30:00
close_sell,1.15909,0.920000000000254,2025-11-12 18:15:00
open_buy,1.15909,,2025-11-12 18:15:00
close_buy,1.1588,0.500000000000167,2025-11-13 04:30:00
open_sell,1.1588,,2025-11-13 04:30:00
close_sell,1.1583,-0.06000000000039307,2025-11-13 08:30:00
open_buy,1.1583,,2025-11-13 08:30:00
close_buy,1.15851,0.4199999999996428,2025-11-13 08:45:00
open_sell,1.15851,,2025-11-13 08:45:00
close_sell,1.15927,-1.1600000000000499,2025-11-13 09:15:00
open_buy,1.15927,,2025-11-13 09:15:00
close_buy,1.16289,-0.140000000000029,2025-11-14 02:00:00
open_sell,1.16289,,2025-11-14 02:00:00
close_sell,1.16421,-0.05999999999994898,2025-11-14 07:15:00
open_buy,1.16421,,2025-11-14 07:15:00
close_buy,1.16202,-0.21999999999966494,2025-11-14 12:00:00
open_sell,1.16202,,2025-11-14 12:00:00
close_sell,1.15997,-1.9199999999996997,2025-11-18 06:15:00
open_buy,1.15997,,2025-11-18 06:15:00
close_buy,1.15828,0.280000000000058,2025-11-18 13:00:00
open_sell,1.15828,,2025-11-18 13:00:00
close_sell,1.15806,0.5199999999998539,2025-11-19 06:00:00
open_buy,1.15806,,2025-11-19 06:00:00
close_buy,1.15686,-1.6400000000000858,2025-11-19 12:45:00
open_sell,1.15686,,2025-11-19 12:45:00
close_sell,1.15135,-0.32000000000032003,2025-11-20 15:15:00
open_buy,1.15135,,2025-11-20 15:15:00
close_buy,1.153,0.04000000000026205,2025-11-21 02:15:00
open_sell,1.153,,2025-11-21 02:15:00
close_sell,1.15355,-0.06000000000039307,2025-11-21 05:00:00
open_buy,1.15355,,2025-11-21 05:00:00
close_buy,1.15206,0.44000000000021794,2025-11-21 13:15:00
open_sell,1.15206,,2025-11-21 13:15:00
close_sell,1.15062,-0.39999999999995595,2025-11-24 02:45:00
open_buy,1.15062,,2025-11-24 02:45:00
close_buy,1.15083,0.48000000000003595,2025-11-24 03:15:00
open_sell,1.15083,,2025-11-24 03:15:00
